id,name,alternate_name,description,email,website,legal_status,tax_status,tax_id,date_incorporated,accreditations,funding_sources,licenses
1,Sanctuary Example City,,Sanctuary assists homeless individuals find housing and employment.,sanctuary@example.com,,,,,,,,
2,Youth in Focus Example City,,Youth in Focus programs provide pathways for low-income young people to rebuild their lives and community through work and education.,YIF@example.com,,,,,,,,
3,Example City Food for Charities,,Example City Food for Charities acquires in-date food that would otherwise be wasted and works with local organisations to redistribute food to vulnerable communities.,city-food@example.com,,,,,,,,
4,Example City Family Project,,The Example City Famly Project provides inclusive community based family therapy for the citizens of Example City.,,,,,,,,,
5,Example City Silvers,,"Provision of services for older people in their homes to allow them to continue living in their communities with dignity. Serivices include: <ul>
  <li>Personal Care</li>
  <li>Cleaning</li>
  <li>Shopping</li>
</ul>",silvers@example.com,,,,,,,,
6,Example City Carnival Bay,,Example City Carnival Bay provides free and low-cost spaces for art therapy projects designed to help those with mental health needs.,,,,,,,,,
7,Roz Bernstein Sample Org,Roz Bernstein's,"The charity's provides support for students and teachers in Example City on matters that interfere with education by providing meals, laundry, legal advice and other facilities to keep students learning and support teaching staff.",,,,,,,,,
8,AP Example City,,"Associated Parks is part of the Example City Town Hall, providing access to green spaces within the city for therapeutic and heallthy living programs.",ap@example.gov,,,,,,,,
9,Example House League of Friends,,Example House League of Friends provides hot meals at soup kitchens throughout Example City for anyone in need.,,,,,,,,,
10,Example Cross Trust,The Cross Trust,The Example Cross Trust distributes care packages to the most vulnerable in Example City and provides safe spaces for personal care such as laundry and bathing.,thecross@example.com,,,,,,,,
